Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken (mins),Diff. Loss,Diff. Accuracy
Hyperparameter-Result0,b0,16,0.001,adam,5000,7500,224x224,0.4254388809,0.4783409834,0.8376666903,0.8053333163,4.53,0.05290210247,0.03233337402
Hyperparameter-Result0,b4,16,0.01,adam,5000,7500,320x320,0.5590441227,0.5714894533,0.7456666827,0.7239999771,14.3,0.01244533062,0.02166670561
Hyperparameter-Result0,b5,16,0.001,adam,5000,7500,320x320,0.4242170751,0.4864791632,0.8420000076,0.8140000105,19.22,0.06226208806,0.02799999714
Hyperparameter-Result1,b0,16,0.001,sgd,5000,7500,224x224,0.8484225869,0.8547545671,0.6601666808,0.6393333077,4.51,0.006331980228,0.02083337307
Hyperparameter-Result1,b4,16,0.01,sgd,5000,7500,320x320,2.692301512,2.700411558,0.6529999971,0.6399999857,14.56,0.008110046387,0.01300001144
Hyperparameter-Result1,b5,16,0.001,sgd,5000,7500,320x320,0.8654614091,0.8630453944,0.641166687,0.6480000019,19.23,-0.002416014671,-0.006833314896
Hyperparameter-Result10,b0,8,0.01,adam,5000,7500,224x224,0.5397459269,0.5510306358,0.7475000024,0.7546666861,7.73,0.01128470898,-0.007166683674
Hyperparameter-Result10,b4,8,N/A,adam,5000,7500,320x320,0.3093107939,0.3903650343,0.8673333526,0.8146666884,18.17,0.08105424047,0.05266666412
Hyperparameter-Result10,b5,8,0.01,adam,5000,7500,320x320,0.5678352118,0.5693494678,0.7388333082,0.7419999838,23.52,0.001514256001,-0.003166675568
Hyperparameter-Result11,b0,8,0.01,sgd,5000,7500,224x224,2.345607042,2.338600159,0.6798333526,0.6919999719,7.69,-0.007006883621,-0.0121666193
Hyperparameter-Result11,b4,8,N/A,sgd,5000,7500,320x320,0.6100398898,0.5982516408,0.6738333106,0.6866666675,18.4,-0.01178824902,-0.01283335686
Hyperparameter-Result11,b5,8,0.01,sgd,5000,7500,320x320,2.416486263,2.419341087,0.6656666398,0.6686666608,23.84,0.002854824066,-0.003000020981
Hyperparameter-Result12,b0,8,0.1,adam,5000,7500,224x224,0.6211410165,0.6353288889,0.6828333139,0.6426666379,7.67,0.01418787241,0.04016667604
Hyperparameter-Result12,b4,32,0.01,adam,5000,7500,320x320,0.5532933474,0.5706245899,0.7451666594,0.7266666889,13.6,0.01733124256,0.01849997044
Hyperparameter-Result12,b5,8,0.1,adam,5000,7500,320x320,0.6326742172,0.6435361505,0.6654999852,0.6233333349,23.35,0.01086193323,0.0421666503
Hyperparameter-Result13,b0,8,0.1,sgd,5000,7500,224x224,1.943287611,1.951401711,0.6871666908,0.6499999762,7.74,0.008114099503,0.03716671467
Hyperparameter-Result13,b4,32,0.01,sgd,5000,7500,320x320,2.871443272,2.877774715,0.6328333616,0.6140000224,13.8,0.006331443787,0.01883333921
Hyperparameter-Result13,b5,8,0.1,sgd,5000,7500,320x320,1.990108728,1.989698291,0.6788333058,0.6693333387,23.37,-0.0004104375839,0.009499967098
Hyperparameter-Result14,b0,8,N/A,adam,5000,7500,224x224,0.2869050205,0.3853279948,0.8799999952,0.8360000253,7.53,0.09842297435,0.04399996996
