Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result31,b5,16,N/A,sgd,0.1,5000,7500,320x320,0.3146514594554901,0.41777437925338745,0.8665000200271606,0.8106666803359985,19.16
Hyperparameter-Result37,b5,8,0.1,sgd,0.1,5000,7500,320x320,0.6348100304603577,0.6259375810623169,0.671833336353302,0.699999988079071,23.38
Hyperparameter-Result29,b5,16,0.1,sgd,0.1,5000,7500,320x320,0.6151137948036194,0.6205716729164124,0.7013333439826965,0.6793333292007446,18.97
Hyperparameter-Result28,b5,16,0.1,adam,0.1,5000,7500,320x320,0.6741499900817871,0.6898254156112671,0.6023333072662354,0.5733333230018616,7.79
Hyperparameter-Result71,b5,32,N/A,sgd,0.01,5000,7500,320x320,0.5675598978996277,0.5828845500946045,0.7059999704360962,0.6959999799728394,18.75
Hyperparameter-Result69,b5,32,0.1,sgd,0.01,5000,7500,320x320,0.6365668177604675,0.6318873167037964,0.687333345413208,0.6973333358764648,18.71
Hyperparameter-Result66,b5,32,0.01,adam,0.01,5000,7500,320x320,0.6485915780067444,0.6304284334182739,0.656499981880188,0.6679999828338623,18.36
Hyperparameter-Result15,b5,8,N/A,sgd,0.001,5000,7500,320x320,0.600954532623291,0.6061843037605286,0.6813333630561829,0.6766666769981384,23.74
Hyperparameter-Result45,b5,32,0.1,sgd,0.1,5000,7500,320x320,0.6032381057739258,0.5989899635314941,0.7106666564941406,0.7286666631698608,18.23
Hyperparameter-Result1,b5,16,0.001,sgd,0.001,5000,7500,320x320,0.8654614090919495,0.8630453944206238,0.6411666870117188,0.6480000019073486,19.23
Hyperparameter-Result19,b5,32,0.01,sgd,0.001,5000,7500,320x320,2.893568992614746,2.8959274291992188,0.6188333630561829,0.6026666760444641,18.81
Hyperparameter-Result10,b5,8,0.01,adam,0.001,5000,7500,320x320,0.5678352117538452,0.569349467754364,0.7388333082199097,0.7419999837875366,23.52
Hyperparameter-Result62,b5,8,N/A,adam,0.01,5000,7500,320x320,0.47087761759757996,0.49198102951049805,0.7350000143051147,0.7613333463668823,23.49
Hyperparameter-Result0,b5,16,0.001,adam,0.001,5000,7500,320x320,0.4242170751094818,0.48647916316986084,0.8420000076293945,0.8140000104904175,19.22
Hyperparameter-Result67,b5,32,0.01,sgd,0.01,5000,7500,320x320,1.7449493408203125,1.7611093521118164,0.7026666402816772,0.6980000138282776,18.76
Hyperparameter-Result26,b5,16,0.01,adam,0.1,5000,7500,320x320,0.6720938682556152,0.6811335682868958,0.6026666760444641,0.5806666612625122,18.98
Hyperparameter-Result58,b5,8,0.01,adam,0.01,5000,7500,320x320,0.6718072891235352,0.677817165851593,0.6035000085830688,0.5879999995231628,9.54
Hyperparameter-Result36,b5,8,0.1,adam,0.1,5000,7500,320x320,0.6774489283561707,0.6852645874023438,0.6036666631698608,0.5753333568572998,8.73
Hyperparameter-Result25,b5,16,0.001,sgd,0.1,5000,7500,320x320,0.4198763072490692,0.5158292055130005,0.8603333234786987,0.8119999766349792,19.43
Hyperparameter-Result52,b5,16,0.1,adam,0.01,5000,7500,320x320,0.6711385250091553,0.682293713092804,0.6046666502952576,0.578000009059906,12.09
Hyperparameter-Result61,b5,8,0.1,sgd,0.01,5000,7500,320x320,0.594902753829956,0.6125914454460144,0.7266666889190674,0.7046666741371155,23.42
Hyperparameter-Result47,b5,32,N/A,sgd,0.1,5000,7500,320x320,0.377593994140625,0.44728612899780273,0.8336666822433472,0.7900000214576721,18.48
Hyperparameter-Result24,b5,16,0.001,adam,0.1,5000,7500,320x320,0.671193540096283,0.6791375875473022,0.6065000295639038,0.5853333473205566,9.07
Hyperparameter-Result7,b5,16,N/A,sgd,0.001,5000,7500,320x320,0.6255228519439697,0.6344749331474304,0.6539999842643738,0.6326666474342346,19.48
Hyperparameter-Result30,b5,16,N/A,adam,0.1,5000,7500,320x320,0.6715823411941528,0.8359346389770508,0.6069999933242798,0.5833333134651184,7.15
Hyperparameter-Result63,b5,8,N/A,sgd,0.01,5000,7500,320x320,0.47399425506591797,0.5023119449615479,0.7761666774749756,0.7693333625793457,23.37
Hyperparameter-Result13,b5,8,0.1,sgd,0.001,5000,7500,320x320,1.9901087284088135,1.9896982908248901,0.6788333058357239,0.6693333387374878,23.37
Hyperparameter-Result18,b5,32,0.01,adam,0.001,5000,7500,320x320,0.5466470122337341,0.5703654289245605,0.7540000081062317,0.7279999852180481,18.49
Hyperparameter-Result64,b5,32,0.001,adam,0.01,5000,7500,320x320,0.5440447330474854,0.5272127389907837,0.7369999885559082,0.7666666507720947,18.27
Hyperparameter-Result27,b5,16,0.01,sgd,0.1,5000,7500,320x320,0.49646204710006714,0.5531150698661804,0.7973333597183228,0.753333330154419,19.00
Hyperparameter-Result40,b5,32,0.001,adam,0.1,5000,7500,320x320,0.6704086065292358,0.6758337020874023,0.6068333387374878,0.593999981880188,15.74
Hyperparameter-Result32,b5,8,0.001,adam,0.1,5000,7500,320x320,0.6707015633583069,0.6814700961112976,0.606166660785675,0.5766666531562805,9.55
